,query_id,tag,confidence
0	SemSearch_ES-93	ENTITY/Toyota_Tundra	1
1	SemSearch_ES-93	ENTITY/Toyota	1
2	SemSearch_ES-1	ENTITY/.44_Magnum	1
3	SemSearch_ES-1	ENTITY/44_Magnum_(band)	1
4	SemSearch_ES-6	ENTITY/Air_Wisconsin	1
5	SemSearch_ES-6	ENTITY/Wisconsin	1
6	SemSearch_ES-6	ENTITY/Air_(Cecil_Taylor_album)	1
7	SemSearch_ES-6	ENTITY/Air_(1971_album)	1
8	SemSearch_ES-6	ENTITY/Air_(Kym_album)	1
9	SemSearch_ES-6	ENTITY/Air_(Agua_de_Annique_album)	1
10	SemSearch_ES-6	ENTITY/Air_(band)	1
11	SemSearch_ES-6	ENTITY/Air_(singer)	1
12	SemSearch_ES-6	ENTITY/Air_(free_jazz_trio)	1
13	SemSearch_ES-6	ENTITY/Air_(2005_film)	1
14	SemSearch_ES-6	ENTITY/Air_(2015_film)	1
15	SemSearch_ES-6	ENTITY/Air_(1977_video_game)	1
16	SemSearch_ES-6	ENTITY/Air_(visual_novel)	1
17	SemSearch_ES-6	ENTITY/Donna_Air	1
18	SemSearch_ES-6	ENTITY/Glen_Air	1
19	SemSearch_ES-7	ENTITY/Glock	1
20	SemSearch_ES-7	ENTITY/Glock_Ges.m.b.H.	1
21	SemSearch_ES-7	ENTITY/Gaston_Glock	1
22	SemSearch_ES-7	ENTITY/Timo_Glock	1
23	SemSearch_ES-7	ENTITY/William_Glock	1
24	SemSearch_ES-9	ENTITY/Embassy_of_the_United_States,_Nairobi	1
25	SemSearch_ES-9	ENTITY/United_States	1
26	SemSearch_ES-9	ENTITY/Nairobi	1
27	SemSearch_ES-10	ENTITY/Asheville,_North_Carolina	1
28	SemSearch_ES-10	ENTITY/North_Carolina	1
29	SemSearch_ES-101	ENTITY/Ashley_Wagner	1
30	SemSearch_ES-11	ENTITY/Austin_Powers_(film_series)	1
31	SemSearch_ES-11	ENTITY/Austin_Powers_(character)	1
32	SemSearch_ES-11	ENTITY/Austin_Powers:_Welcome_to_My_Underground_Lair!	1
